time;gFx;gFy;gFz;TgF
0,003047;-0,0201;0,3765;0,9159;0,990
0,003503;-0,0161;0,3726;0,9167;0,990
0,003748;-0,0152;0,3728;0,9191;0,992
0,003993;-0,0159;0,3745;0,9159;0,990
0,004247;-0,0127;0,3750;0,9171;0,991
0,004507;-0,0159;0,3755;0,9135;0,988
0,019622;-0,0193;0,3740;0,9123;0,986
0,020550;-0,0169;0,3726;0,9086;0,982
0,020875;-0,0183;0,3721;0,9059;0,980
0,021112;-0,0142;0,3755;0,9047;0,980
0,021366;-0,0154;0,3753;0,9020;0,977
0,021564;-0,0169;0,3745;0,9032;0,978
0,035348;-0,0135;0,3780;0,9003;0,976
0,036176;-0,0130;0,3755;0,9049;0,980
0,036395;-0,0186;0,3733;0,9066;0,981
0,036577;-0,0149;0,3770;0,9083;0,984
0,036751;-0,0144;0,3740;0,9066;0,981
0,036922;-0,0132;0,3745;0,9120;0,986
0,037089;-0,0149;0,3728;0,9135;0,987
0,041946;-0,0122;0,3765;0,9137;0,988
0,042799;-0,0130;0,3731;0,9169;0,990
0,043847;-0,0142;0,3753;0,9145;0,989
0,047308;-0,0132;0,3718;0,9140;0,987
0,050169;-0,0115;0,3755;0,9123;0,987
0,051967;-0,0130;0,3772;0,9132;0,988
0,055272;-0,0120;0,3753;0,9127;0,987
0,057441;-0,0157;0,3718;0,9125;0,985
0,060949;-0,0171;0,3723;0,9105;0,984
0,061407;-0,0169;0,3753;0,9123;0,987
0,064343;-0,0161;0,3738;0,9127;0,986
0,067025;-0,0174;0,3738;0,9074;0,981
0,069447;-0,0139;0,3762;0,9101;0,985
0,072887;-0,0149;0,3767;0,9098;0,985
0,074938;-0,0142;0,3755;0,9120;0,986
0,076399;-0,0159;0,3760;0,9110;0,986
0,079090;-0,0142;0,3748;0,9079;0,982
0,082734;-0,0169;0,3758;0,9101;0,985
0,084043;-0,0152;0,3755;0,9125;0,987
0,088673;-0,0149;0,3748;0,9098;0,984
0,089281;-0,0176;0,3755;0,9103;0,985
0,091919;-0,0164;0,3760;0,9115;0,986
0,093762;-0,0157;0,3743;0,9135;0,987
0,097984;-0,0142;0,3738;0,9105;0,984
0,099783;-0,0130;0,3738;0,9130;0,987
0,102441;-0,0147;0,3714;0,9149;0,988
0,106128;-0,0117;0,3701;0,9118;0,984
0,106737;-0,0171;0,3775;0,9157;0,991
0,109665;-0,0154;0,3743;0,9123;0,986
0,112040;-0,0161;0,3743;0,9120;0,986
0,113803;-0,0166;0,3748;0,9120;0,986
0,117700;-0,0144;0,3767;0,9101;0,985
0,121563;-0,0159;0,3740;0,9093;0,983
0,122169;-0,0157;0,3748;0,9083;0,983
0,124586;-0,0152;0,3740;0,9098;0,984
0,127417;-0,0154;0,3750;0,9069;0,981
0,128861;-0,0152;0,3731;0,9088;0,983
0,133090;-0,0127;0,3721;0,9142;0,987
0,133538;-0,0149;0,3748;0,9103;0,985
0,140401;-0,0139;0,3770;0,9132;0,988
0,141447;-0,0137;0,3743;0,9147;0,988
0,141830;-0,0149;0,3726;0,9145;0,988
0,143808;-0,0166;0,3755;0,9179;0,992
0,146155;-0,0152;0,3728;0,9154;0,989
0,149081;-0,0122;0,3787;0,9137;0,989
0,151655;-0,0161;0,3777;0,9149;0,990
0,157310;-0,0164;0,3755;0,9147;0,989
0,158454;-0,0164;0,3728;0,9145;0,988
0,158977;-0,0125;0,3775;0,9145;0,989
0,160941;-0,0142;0,3760;0,9115;0,986
0,163973;-0,0142;0,3728;0,9108;0,984
0,166324;-0,0142;0,3782;0,9086;0,984
0,168768;-0,0137;0,3748;0,9091;0,983
0,173601;-0,0135;0,3777;0,9066;0,982
0,174402;-0,0161;0,3762;0,9066;0,982
0,176010;-0,0132;0,3721;0,9098;0,983
0,179186;-0,0137;0,3726;0,9076;0,981
0,181135;-0,0142;0,3760;0,9113;0,986
0,183402;-0,0137;0,3762;0,9123;0,987
0,186603;-0,0147;0,3745;0,9120;0,986
0,188779;-0,0174;0,3721;0,9096;0,983
0,191153;-0,0169;0,3728;0,9147;0,988
0,193921;-0,0171;0,3740;0,9137;0,987
0,196378;-0,0161;0,3765;0,9159;0,990
0,198172;-0,0159;0,3767;0,9147;0,989
0,204855;-0,0137;0,3740;0,9113;0,985
0,205880;-0,0188;0,3743;0,9101;0,984
0,206946;-0,0157;0,3743;0,9105;0,985
0,208839;-0,0122;0,3743;0,9130;0,987
0,211201;-0,0154;0,3750;0,9108;0,985
0,214228;-0,0142;0,3736;0,9086;0,982
0,216377;-0,0157;0,3740;0,9091;0,983
0,218611;-0,0186;0,3755;0,9127;0,987
0,222155;-0,0115;0,3748;0,9184;0,992
0,224742;-0,0154;0,3743;0,9113;0,985
0,225846;-0,0161;0,3762;0,9088;0,984
0,229252;-0,0147;0,3789;0,9127;0,988
0,231330;-0,0110;0,3733;0,9127;0,986
0,233168;-0,0147;0,3718;0,9120;0,985
0,236913;-0,0154;0,3750;0,9110;0,985
0,240487;-0,0132;0,3760;0,9120;0,987
0,241751;-0,0142;0,3762;0,9098;0,985
0,243445;-0,0142;0,3750;0,9079;0,982
0,246439;-0,0125;0,3745;0,9101;0,984
0,248534;-0,0142;0,3723;0,9105;0,984
0,252319;-0,0130;0,3750;0,9108;0,985
0,254657;-0,0166;0,3775;0,9118;0,987
0,256801;-0,0181;0,3748;0,9135;0,988
0,260192;-0,0149;0,3733;0,9091;0,983
0,261179;-0,0144;0,3731;0,9157;0,989
0,265176;-0,0152;0,3733;0,9105;0,984
0,266176;-0,0137;0,3760;0,9113;0,986
0,271761;-0,0157;0,3748;0,9115;0,986
0,272330;-0,0132;0,3748;0,9115;0,986
0,274649;-0,0137;0,3758;0,9120;0,986
0,277038;-0,0171;0,3767;0,9130;0,988
0,279068;-0,0142;0,3765;0,9127;0,987
0,281299;-0,0159;0,3765;0,9145;0,989
0,283386;-0,0152;0,3745;0,9132;0,987
0,287963;-0,0198;0,3767;0,9169;0,991
